hu-seasonal	source	assay_component	strainname	host	us_lineage	date	accession	subtype	country	global_sw_clade	new_global_lineage
fludb|KF478855|A/swine/Iowa/A01432878/2013|H1N2|USA|Swine|1B.2.2.2|07/2013	fludb	na	A/swine/Iowa/A01432878/2013	swine	na	2013-07-	KF478855	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF537368|A/swine/Iowa/A01432902/2013|mixed|USA|Swine|1A.3.3.3|08/2013	fludb	na	A/swine/Iowa/A01432902/2013	swine	na	2013-08-	KF537368	mixed	USA	1A.3.3.3	1A.3.3.3
fludb|KP019674|A/swine/Iowa/A01476453/2014|H1N1|USA|Swine|1A.2|09/22/2014	fludb	na	A/swine/Iowa/A01476453/2014	swine	na	22/09/2014	KP019674	H1N1	USA	1A.2	1A.2
fludb|KP003901|A/swine/Iowa/A01483085/2014|H1N1|USA|Swine|1A.3.3.3|09/24/2014	fludb	na	A/swine/Iowa/A01483085/2014	swine	na	24/09/2014	KP003901	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KR982645|A/swine/Iowa/A01554775/2015|H1N1|USA|Swine|1A.3.3.3|04/28/2015	fludb	na	A/swine/Iowa/A01554775/2015	swine	na	28/04/2015	KR982645	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KP996577|A/swine/Iowa/A01555556/2015|H1N1|USA|Swine|1A.3.3.3|02/16/2015	fludb	na	A/swine/Iowa/A01555556/2015	swine	na	16/02/2015	KP996577	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MF000483|A/swine/Iowa/A01667089/2017|H1N1|USA|Swine|1A.3.3.3|03/08/2017	fludb	na	A/swine/Iowa/A01667089/2017	swine	na	08/03/2017	MF000483	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KY941139|A/swine/Iowa/A01667097/2017|H1N2|USA|Swine|1B.2.2.1|03/16/2017	fludb	na	A/swine/Iowa/A01667097/2017	swine	na	16/03/2017	KY941139	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KY328157|A/swine/Iowa/A01668209/2016|H1N2|USA|Swine|1B.2.2.1|11/10/2016	fludb	na	A/swine/Iowa/A01668209/2016	swine	na	10/11/2016	KY328157	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KY413022|A/swine/Iowa/A01668917/2016|H1N2|USA|Swine|1B.2.1|11/28/2016	fludb	na	A/swine/Iowa/A01668917/2016	swine	na	28/11/2016	KY413022	H1N2	USA	1B.2.1	1B.2.1
fludb|KY413003|A/swine/Iowa/A01668925/2016|H1N1|USA|Swine|1A.3.3.3|11/29/2016	fludb	na	A/swine/Iowa/A01668925/2016	swine	na	29/11/2016	KY413003	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KY486450|A/swine/Iowa/A01671454/2016|H1N2|USA|Swine|1B.2.2.1|12/16/2016	fludb	na	A/swine/Iowa/A01671454/2016	swine	na	16/12/2016	KY486450	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KY486455|A/swine/Iowa/A01671474/2016|H1N2|USA|Swine|1B.2.2.1|12/12/2016	fludb	na	A/swine/Iowa/A01671474/2016	swine	na	12/12/2016	KY486455	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KY465589|A/swine/Iowa/A01671475/2016|H1N2|USA|Swine|1B.2.1|12/14/2016	fludb	na	A/swine/Iowa/A01671475/2016	swine	na	14/12/2016	KY465589	H1N2	USA	1B.2.1	1B.2.1
fludb|KY465599|A/swine/Iowa/A01671481/2016|H1N2|USA|Swine|1B.2.1|12/15/2016	fludb	na	A/swine/Iowa/A01671481/2016	swine	na	15/12/2016	KY465599	H1N2	USA	1B.2.1	1B.2.1
fludb|KY499599|A/swine/Iowa/A01671739/2016|H1N2|USA|Swine|1A.1.1|12/28/2016	fludb	na	A/swine/Iowa/A01671739/2016	swine	na	28/12/2016	KY499599	H1N2	USA	1A.1.1	1A.1.1
fludb|KU666867|A/swine/Iowa/A01729478/2016|H1N2|USA|Swine|1B.2.2.1|01/08/2016	fludb	na	A/swine/Iowa/A01729478/2016	swine	na	08/01/2016	KU666867	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KT750767|A/swine/Iowa/A01769483/2015|H1N2|USA|Swine|1B.2.2.1|08/10/2015	fludb	na	A/swine/Iowa/A01769483/2015	swine	na	10/08/2015	KT750767	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KX684012|A/swine/Iowa/A01777666/2016|H1N1|USA|Swine|1A.3.3.3|07/01/2016	fludb	na	A/swine/Iowa/A01777666/2016	swine	na	01/07/2016	KX684012	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KY115550|A/swine/Iowa/A01782388/2016|H1N2|USA|Swine|1B.2.2.1|10/10/2016	fludb	na	A/swine/Iowa/A01782388/2016	swine	na	10/10/2016	KY115550	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MH182125|A/swine/Iowa/A01785481/2018|H1N2|USA|Swine|1A.3.3.3|03/21/2018	fludb	na	A/swine/Iowa/A01785481/2018	swine	na	21/03/2018	MH182125	H1N2	USA	1A.3.3.3	1A.3.3.3
fludb|MH680943|A/swine/Iowa/A01785576/2018|H1N1|USA|Swine|1A.3.3.2|06/19/2018	fludb	na	A/swine/Iowa/A01785576/2018	swine	na	19/06/2018	MH680943	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MK024167|A/swine/Iowa/A01785622/2018|H1N1|USA|Swine|1A.3.3.3|09/13/2018	fludb	na	A/swine/Iowa/A01785622/2018	swine	na	13/09/2018	MK024167	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MK072860|A/swine/Iowa/A01785635/2018|H1N2|USA|Swine|1A.3.3.3|10/08/2018	fludb	na	A/swine/Iowa/A01785635/2018	swine	na	08/10/2018	MK072860	H1N2	USA	1A.3.3.3	1A.3.3.3
fludb|KX255805|A/swine/Iowa/A01895385/2016|H1N2|USA|Swine|1B.2.2.2|04/12/2016	fludb	na	A/swine/Iowa/A01895385/2016	swine	na	12/04/2016	KX255805	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KU680983|A/swine/Iowa/A01941881/2016|H1N2|USA|Swine|1B.2.2.1|01/11/2016	fludb	na	A/swine/Iowa/A01941881/2016	swine	na	11/01/2016	KU680983	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KT965417|A/swine/Iowa/A01945370/2015|H1N2|USA|Swine|1B.2.2.2|10/01/2015	fludb	na	A/swine/Iowa/A01945370/2015	swine	na	01/10/2015	KT965417	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KT259336|A/swine/Iowa/A02076898/2015|H1N2|USA|Swine|1B.2.2.2|06/10/2015	fludb	na	A/swine/Iowa/A02076898/2015	swine	na	10/06/2015	KT259336	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KT803101|A/swine/Iowa/A02076955/2015|H1N1|USA|Swine|1A.3.3.3|08/18/2015	fludb	na	A/swine/Iowa/A02076955/2015	swine	na	18/08/2015	KT803101	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MG548011|A/swine/Iowa/A02134233/2017|H1N2|USA|Swine|1A.1.1|10/18/2017	fludb	na	A/swine/Iowa/A02134233/2017	swine	na	18/10/2017	MG548011	H1N2	USA	1A.1.1	1A.1.1
fludb|MH094816|A/swine/Iowa/A02154077/2018|H1N2|USA|Swine|1B.2.2.1|02/23/2018	fludb	na	A/swine/Iowa/A02154077/2018	swine	na	23/02/2018	MH094816	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MH160354|A/swine/Iowa/A02154764/2018|H1N1|USA|Swine|1A.3.3.3|03/02/2018	fludb	na	A/swine/Iowa/A02154764/2018	swine	na	02/03/2018	MH160354	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MH201024|A/swine/Iowa/A02156990/2018|H1N1|USA|Swine|1A.3.3.3|03/21/2018	fludb	na	A/swine/Iowa/A02156990/2018	swine	na	21/03/2018	MH201024	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MH345746|A/swine/Iowa/A02157800/2018|H1N2|USA|Swine|1B.2.2.2|04/11/2018	fludb	na	A/swine/Iowa/A02157800/2018	swine	na	11/04/2018	MH345746	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|MH345754|A/swine/Iowa/A02157802/2018|H1N2|USA|Swine|1B.2.2.1|04/12/2018	fludb	na	A/swine/Iowa/A02157802/2018	swine	na	12/04/2018	MH345754	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MH396704|A/swine/Iowa/A02158353/2018|H1N2|USA|Swine|1A.1.1|04/30/2018	fludb	na	A/swine/Iowa/A02158353/2018	swine	na	30/04/2018	MH396704	H1N2	USA	1A.1.1	1A.1.1
fludb|MH540387|A/swine/Iowa/A02158959/2018|H1N1|USA|Swine|1A.3.3.2|05/19/2018	fludb	na	A/swine/Iowa/A02158959/2018	swine	na	19/05/2018	MH540387	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MH492491|A/swine/Iowa/A02169071/2018|H1N2|USA|Swine|1B.2.2.2|05/24/2018	fludb	na	A/swine/Iowa/A02169071/2018	swine	na	24/05/2018	MH492491	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|MH727188|A/swine/Iowa/A02172376/2018|H1N2|USA|Swine|1B.2.1|07/12/2018	fludb	na	A/swine/Iowa/A02172376/2018	swine	na	12/07/2018	MH727188	H1N2	USA	1B.2.1	1B.2.1
fludb|KY995611|A/swine/Iowa/A02214237/2017|H1N1|USA|Swine|1A.3.3.3|03/21/2017	fludb	na	A/swine/Iowa/A02214237/2017	swine	na	21/03/2017	KY995611	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MF092739|A/swine/Iowa/A02214669/2017|H1N2|USA|Swine|1B.2.1|03/28/2017	fludb	na	A/swine/Iowa/A02214669/2017	swine	na	28/03/2017	MF092739	H1N2	USA	1B.2.1	1B.2.1
fludb|MF471674|A/swine/Iowa/A02217286/2017|H1N2|USA|Swine|1B.2.2.1|06/15/2017	fludb	na	A/swine/Iowa/A02217286/2017	swine	na	15/06/2017	MF471674	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MF623911|A/swine/Iowa/A02218426/2017|H1N2|USA|Swine|1B.2.2.1|07/17/2017	fludb	na	A/swine/Iowa/A02218426/2017	swine	na	17/07/2017	MF623911	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MF784409|A/swine/Iowa/A02218755/2017|H1N1|USA|Swine|1A.3.3.3|07/31/2017	fludb	na	A/swine/Iowa/A02218755/2017	swine	na	31/07/2017	MF784409	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MG241367|A/swine/Iowa/A02221874/2017|H1N2|USA|Swine|1B.2.2.1|09/20/2017	fludb	na	A/swine/Iowa/A02221874/2017	swine	na	20/09/2017	MG241367	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MG494738|A/swine/Iowa/A02223245/2017|H1N2|USA|Swine|1B.2.2.1|10/03/2017	fludb	na	A/swine/Iowa/A02223245/2017	swine	na	03/10/2017	MG494738	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MH802630|A/swine/Iowa/A02254609/2018|H1N1|USA|Swine|1A.3.3.3|07/21/2018	fludb	na	A/swine/Iowa/A02254609/2018	swine	na	21/07/2018	MH802630	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MH910361|A/swine/Iowa/A02256552/2018|H1N1|USA|Swine|1A.1.1|08/16/2018	fludb	na	A/swine/Iowa/A02256552/2018	swine	na	16/08/2018	MH910361	H1N1	USA	1A.1.1	1A.1.1
fludb|MH938182|A/swine/Iowa/A02256929/2018|H1N2|USA|Swine|1B.2.2.1|08/30/2018	fludb	na	A/swine/Iowa/A02256929/2018	swine	na	30/08/2018	MH938182	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MK208435|A/swine/Iowa/A02268403/2018|H1N2|USA|Swine|1A.1.1|10/23/2018	fludb	na	A/swine/Iowa/A02268403/2018	swine	na	23/10/2018	MK208435	H1N2	USA	1A.1.1	1A.1.1
fludb|MK358878|A/swine/Iowa/A02269999/2018|H1N2|USA|Swine|1B.2.2.1|11/14/2018	fludb	na	A/swine/Iowa/A02269999/2018	swine	na	14/11/2018	MK358878	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MK371697|A/swine/Iowa/A02271352/2018|H1N2|USA|Swine|1B.2.2.2|12/03/2018	fludb	na	A/swine/Iowa/A02271352/2018	swine	na	03/12/2018	MK371697	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|MK564259|A/swine/Iowa/A02429948/2019|H1N2|USA|Swine|1B.2.1|01/18/2019	fludb	na	A/swine/Iowa/A02429948/2019	swine	na	18/01/2019	MK564259	H1N2	USA	1B.2.1	1B.2.1
fludb|MK751583|A/swine/Iowa/A02431349/2019|H1N2|USA|Swine|1B.2.1|03/11/2019	fludb	na	A/swine/Iowa/A02431349/2019	swine	na	11/03/2019	MK751583	H1N2	USA	1B.2.1	1B.2.1
fludb|MK828093|A/swine/Iowa/A02431617/2019|H1N1|USA|Swine|1B.2.2.1|03/18/2019	fludb	na	A/swine/Iowa/A02431617/2019	swine	na	18/03/2019	MK828093	H1N1	USA	1B.2.2.1	1B.2.2.1
fludb|MN184593|A/swine/Iowa/A02478559/2019|H1N2|USA|Swine|1B.2.2.1|06/18/2019	fludb	na	A/swine/Iowa/A02478559/2019	swine	na	18/06/2019	MN184593	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MN225003|A/swine/Iowa/A02478576/2019|H1N2|USA|Swine|1A.1.1|07/02/2019	fludb	na	A/swine/Iowa/A02478576/2019	swine	na	02/07/2019	MN225003	H1N2	USA	1A.1.1	1A.1.1
fludb|MN517792|A/swine/Iowa/A02478618/2019|H1N2|USA|Swine|1B.2.2.1|08/16/2019	fludb	na	A/swine/Iowa/A02478618/2019	swine	na	16/08/2019	MN517792	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MN450673|A/swine/Iowa/A02478627/2019|H1N2|USA|Swine|1B.2.2.2|08/27/2019	fludb	na	A/swine/Iowa/A02478627/2019	swine	na	27/08/2019	MN450673	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|MN517784|A/swine/Iowa/A02478629/2019|H1N1|USA|Swine|1A.3.3.3|08/28/2019	fludb	na	A/swine/Iowa/A02478629/2019	swine	na	28/08/2019	MN517784	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|GU135905|A/swine/Iowa/H02HE4/2002|H1N1|USA|Swine|1A.2|11/2002	fludb	na	A/swine/Iowa/H02HE4/2002	swine	na	2002-11-	GU135905	H1N1	USA	1A.2	1A.2
fludb|MF194494|A/swine/Iowa/MT_12_07_11_02_05/2011|H1N1|USA|Swine|1A.3.3.3|11/22/2011	fludb	na	A/swine/Iowa/MT_12_07_11_02_05/2011	swine	na	22/11/2011	MF194494	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KC894809|A/swine/Kansas/13_107386/2013|H1N2|USA|Swine|1B.2.2.2|03/2013	fludb	na	A/swine/Kansas/13_107386/2013	swine	na	2013-03-	KC894809	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KP691526|A/swine/Kansas/14_032473/2014|H1N2|USA|Swine|1B.2.1|12/10/2014	fludb	na	A/swine/Kansas/14_032473/2014	swine	na	10/12/2014	KP691526	H1N2	USA	1B.2.1	1B.2.1
fludb|KF922759|A/swine/Kansas/A01290646/2013|H1N2|USA|Swine|1B.2.2.2|10/14/2013	fludb	na	A/swine/Kansas/A01290646/2013	swine	na	14/10/2013	KF922759	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KJ484601|A/swine/Kansas/A01377172/2013|H1N1|USA|Swine|1A.3.3.3|12/02/2013	fludb	na	A/swine/Kansas/A01377172/2013	swine	na	02/12/2013	KJ484601	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KJ777467|A/swine/Kansas/A01377287/2014|H1N2|USA|Swine|1B.2.2.1|04/01/2014	fludb	na	A/swine/Kansas/A01377287/2014	swine	na	01/04/2014	KJ777467	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KM503186|A/swine/Kansas/A01377349/2014|H1N2|USA|Swine|1B.2.2.2|08/27/2014	fludb	na	A/swine/Kansas/A01377349/2014	swine	na	27/08/2014	KM503186	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|MF973232|A/swine/Kansas/A01785288/2017|H1N2|USA|Swine|NA|09/05/2017	fludb	na	A/swine/Kansas/A01785288/2017	swine	na	05/09/2017	MF973232	H1N2	USA	NA	NA
fludb|MH223584|A/swine/Kansas/A01785459/2018|H1N1|USA|Swine|1A.2|02/28/2018	fludb	na	A/swine/Kansas/A01785459/2018	swine	na	28/02/2018	MH223584	H1N1	USA	1A.2	1A.2
fludb|MH445459|A/swine/Kansas/A01785532/2018|H1N2|USA|Swine|1B.2.2.1|05/02/2018	fludb	na	A/swine/Kansas/A01785532/2018	swine	na	02/05/2018	MH445459	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|CY158169|A/swine/Kentucky/02116/2008|H1N1|USA|Swine|1A.2|04/02/2008	fludb	na	A/swine/Kentucky/02116/2008	swine	na	02/04/2008	CY158169	H1N1	USA	1A.2	1A.2
fludb|MG930928|A/swine/Kentucky/A02140797/2018|H1N1|USA|Swine|1A.3.3.2|01/08/2018	fludb	na	A/swine/Kentucky/A02140797/2018	swine	na	08/01/2018	MG930928	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|CY157647|A/swine/Kentucky/SG1167/2003|H1N1|USA|Swine|1A.3.3|01/22/2003	fludb	na	A/swine/Kentucky/SG1167/2003	swine	na	22/01/2003	CY157647	H1N1	USA	1A.3.3	1A.3.3
fludb|CY194381|A/swine/Manitoba/D0104/2012|H1N2|Canada|Swine|1A.3.3.2|10/25/2012	fludb	na	A/swine/Manitoba/D0104/2012	swine	na	25/10/2012	CY194381	H1N2	Canada	1A.3.3.2	1A.3.3.2
fludb|CY194277|A/swine/Manitoba/D0171/2012|H1N2|Canada|Swine|1A.3.3.2|05/03/2012	fludb	na	A/swine/Manitoba/D0171/2012	swine	na	03/05/2012	CY194277	H1N2	Canada	1A.3.3.2	1A.3.3.2
fludb|CY194285|A/swine/Manitoba/D0172/2012|H1N1|Canada|Swine|1A.3.3.2|05/10/2012	fludb	na	A/swine/Manitoba/D0172/2012	swine	na	10/05/2012	CY194285	H1N1	Canada	1A.3.3.2	1A.3.3.2
fludb|CY194365|A/swine/Manitoba/D0175/2012|H1N1|Canada|Swine|1A.1.1|10/23/2012	fludb	na	A/swine/Manitoba/D0175/2012	swine	na	23/10/2012	CY194365	H1N1	Canada	1A.1.1	1A.1.1
fludb|CY194853|A/swine/Manitoba/D0275/2013|H1N2|Canada|Swine|1A.1.1|10/10/2013	fludb	na	A/swine/Manitoba/D0275/2013	swine	na	10/10/2013	CY194853	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY195575|A/swine/Manitoba/D0333/2014|H1N2|Canada|Swine|1A.1.1|05/14/2014	fludb	na	A/swine/Manitoba/D0333/2014	swine	na	14/05/2014	CY195575	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY195583|A/swine/Manitoba/D0335/2014|H1N2|Canada|Swine|1A.1.1|06/04/2014	fludb	na	A/swine/Manitoba/D0335/2014	swine	na	04/06/2014	CY195583	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY195231|A/swine/Manitoba/D0338/2014|H1N2|Canada|Swine|1A.3.3.2|06/04/2014	fludb	na	A/swine/Manitoba/D0338/2014	swine	na	04/06/2014	CY195231	H1N2	Canada	1A.3.3.2	1A.3.3.2
fludb|CY195263|A/swine/Manitoba/D0342/2014|H1N2|Canada|Swine|1A.1.1|06/18/2014	fludb	na	A/swine/Manitoba/D0342/2014	swine	na	18/06/2014	CY195263	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY245833|A/swine/Manitoba/D0389/2015|H1N2|Canada|Swine|1A.1.1|06/09/2015	fludb	na	A/swine/Manitoba/D0389/2015	swine	na	09/06/2015	CY245833	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY246235|A/swine/Manitoba/D0417/2016|H1N2|Canada|Swine|1A.1.1|04/21/2016	fludb	na	A/swine/Manitoba/D0417/2016	swine	na	21/04/2016	CY246235	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY246081|A/swine/Manitoba/D0438/2016|H1N1|Canada|Swine|1A.3.3.2|01/14/2016	fludb	na	A/swine/Manitoba/D0438/2016	swine	na	14/01/2016	CY246081	H1N1	Canada	1A.3.3.2	1A.3.3.2
fludb|CY245600|A/swine/Manitoba/D0442/2016|mixed|Canada|Swine|1A.3.3.2|05/03/2016	fludb	na	A/swine/Manitoba/D0442/2016	swine	na	03/05/2016	CY245600	mixed	Canada	1A.3.3.2	1A.3.3.2
fludb|MK462902|A/swine/Manitoba/D0483/2017|H1N2|Canada|Swine|1A.1.1|02/28/2017	fludb	na	A/swine/Manitoba/D0483/2017	swine	na	28/02/2017	MK462902	H1N2	Canada	1A.1.1	1A.1.1
fludb|MK462603|A/swine/Manitoba/D0495/2017|H1N2|Canada|Swine|1A.1.1|04/12/2017	fludb	na	A/swine/Manitoba/D0495/2017	swine	na	12/04/2017	MK462603	H1N2	Canada	1A.1.1	1A.1.1
fludb|MK462379|A/swine/Manitoba/D0526/2017|H1N2|Canada|Swine|1A.1.1|12/31/2017	fludb	na	A/swine/Manitoba/D0526/2017	swine	na	31/12/2017	MK462379	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY246105|A/swine/Manitoba/SD0144/2016|H1N2|Canada|Swine|1A.1.1|02/10/2016	fludb	na	A/swine/Manitoba/SD0144/2016	swine	na	10/02/2016	CY246105	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY245592|A/swine/Manitoba/SD0157/2016|H1N2|Canada|Swine|1A.1.1|03/09/2016	fludb	na	A/swine/Manitoba/SD0157/2016	swine	na	09/03/2016	CY245592	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY245609|A/swine/Manitoba/SD0165/2016|H1N2|Canada|Swine|1A.1.1|05/04/2016	fludb	na	A/swine/Manitoba/SD0165/2016	swine	na	04/05/2016	CY245609	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY245617|A/swine/Manitoba/SD0166/2016|H1N2|Canada|Swine|1A.1.1|05/04/2016	fludb	na	A/swine/Manitoba/SD0166/2016	swine	na	04/05/2016	CY245617	H1N2	Canada	1A.1.1	1A.1.1
fludb|CY246723|A/swine/Manitoba/SD0202/2016|H1N2|Canada|Swine|1A.1.1|11/17/2016	fludb	na	A/swine/Manitoba/SD0202/2016	swine	na	17/11/2016	CY246723	H1N2	Canada	1A.1.1	1A.1.1
fludb|MK462515|A/swine/Manitoba/SD0216/2017|H1N2|Canada|Swine|1A.1.1|01/27/2017	fludb	na	A/swine/Manitoba/SD0216/2017	swine	na	27/01/2017	MK462515	H1N2	Canada	1A.1.1	1A.1.1
fludb|MH061527|A/swine/Mexico/10126158/2013|H1N1|Mexico|Swine|1A.3.3.2|09/30/2013	fludb	na	A/swine/Mexico/10126158/2013	swine	na	30/09/2013	MH061527	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|MG836731|A/swine/Mexico/10926242/2014|H1N2|Mexico|Swine|1A.3.3.2|10/31/2014	fludb	na	A/swine/Mexico/10926242/2014	swine	na	31/10/2014	MG836731	H1N2	Mexico	1A.3.3.2	1A.3.3.2
fludb|MG836747|A/swine/Mexico/11004418/2014|H1N2|Mexico|Swine|1A.3.3.2|12/01/2014	fludb	na	A/swine/Mexico/11004418/2014	swine	na	01/12/2014	MG836747	H1N2	Mexico	1A.3.3.2	1A.3.3.2
fludb|MG836771|A/swine/Mexico/84703178820/2014|H1N1|Mexico|Swine|1A.3.3.2|05/25/2014	fludb	na	A/swine/Mexico/84703178820/2014	swine	na	25/05/2014	MG836771	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|MG836795|A/swine/Mexico/84704755140/2014|H1N1|Mexico|Swine|1A.3.3.2|08/17/2014	fludb	na	A/swine/Mexico/84704755140/2014	swine	na	17/08/2014	MG836795	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|MH061615|A/swine/Mexico/8630529/2011|H1N1|Mexico|Swine|1A.3.3.2|09/26/2011	fludb	na	A/swine/Mexico/8630529/2011	swine	na	26/09/2011	MH061615	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|MH061647|A/swine/Mexico/8935602/2012|H1N1|Mexico|Swine|1A.2|02/23/2012	fludb	na	A/swine/Mexico/8935602/2012	swine	na	23/02/2012	MH061647	H1N1	Mexico	1A.2	1A.2
fludb|MH061679|A/swine/Mexico/9557133/2013|H1N1|Mexico|Swine|1A.3.1|12/21/2013	fludb	na	A/swine/Mexico/9557133/2013	swine	na	21/12/2013	MH061679	H1N1	Mexico	1A.3.1	1A.3.1
fludb|KU976601|A/swine/Mexico/AVX16/2012|H1N2|Mexico|Swine|Other_Human_1B.2|04/03/2012	fludb	na	A/swine/Mexico/AVX16/2012	swine	na	03/04/2012	KU976601	H1N2	Mexico	Other_Human_1B.2	Other_Human_1B.2
fludb|KU976586|A/swine/Mexico/AVX17/2012|H1N2|Mexico|Swine|Other_Human_1B.2|03/18/2012	fludb	na	A/swine/Mexico/AVX17/2012	swine	na	18/03/2012	KU976586	H1N2	Mexico	Other_Human_1B.2	Other_Human_1B.2
fludb|KU976628|A/swine/Mexico/AVX27/2012|H1N1|Mexico|Swine|1A.3.3.2|08/02/2012	fludb	na	A/swine/Mexico/AVX27/2012	swine	na	02/08/2012	KU976628	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|KU976948|A/swine/Mexico/AVX29/2012|H1N1|Mexico|Swine|1A.3.3.2|09/14/2012	fludb	na	A/swine/Mexico/AVX29/2012	swine	na	14/09/2012	KU976948	H1N1	Mexico	1A.3.3.2	1A.3.3.2
fludb|KU976666|A/swine/Mexico/AVX3/2011|H1N1|Mexico|Swine|1A.3.1|03/18/2011	fludb	na	A/swine/Mexico/AVX3/2011	swine	na	18/03/2011	KU976666	H1N1	Mexico	1A.3.1	1A.3.1
fludb|KU976536|A/swine/Mexico/AVX30/2012|H1N1|Mexico|Swine|1A.1_like|09/14/2012	fludb	na	A/swine/Mexico/AVX30/2012	swine	na	14/09/2012	KU976536	H1N1	Mexico	1A.1_like	1A.1_like
fludb|KU976737|A/swine/Mexico/AVX47/2013|H1N1|Mexico|Swine|1C.2|01/08/2013	fludb	na	A/swine/Mexico/AVX47/2013	swine	na	08/01/2013	KU976737	H1N1	Mexico	1C.2	1C.2
fludb|KU976748|A/swine/Mexico/AVX49/2013|H1N2|Mexico|Swine|Other_Human_1B.2|03/25/2013	fludb	na	A/swine/Mexico/AVX49/2013	swine	na	25/03/2013	KU976748	H1N2	Mexico	Other_Human_1B.2	Other_Human_1B.2
fludb|KU976738|A/swine/Mexico/AVX50/2013|H1N2|Mexico|Swine|Other_Human_1B.2|03/27/2013	fludb	na	A/swine/Mexico/AVX50/2013	swine	na	27/03/2013	KU976738	H1N2	Mexico	Other_Human_1B.2	Other_Human_1B.2
fludb|KU976565|A/swine/Mexico/AVX63/2014|H1N1|Mexico|Swine|1A.3.1|04/25/2014	fludb	na	A/swine/Mexico/AVX63/2014	swine	na	25/04/2014	KU976565	H1N1	Mexico	1A.3.1	1A.3.1
fludb|KT225468|A/swine/Mexico/GtoDMZC01/2014|H1N2|Mexico|Swine|1B.2.1|11/04/2014	fludb	na	A/swine/Mexico/GtoDMZC01/2014	swine	na	04/11/2014	KT225468	H1N2	Mexico	1B.2.1	1B.2.1
